Age,SD_probability_mean,SD_probability_error
-12.67271,0.40346012,0.025370445
-12.66565,0.41289264,0.025115378
-12.65859,0.4111243,0.025934016
-12.65153,0.41944188,0.025469318
-12.6444,0.41642332,0.025750503
-12.6372,0.4262802,0.025489548
-12.63,0.42205405,0.025989762
-12.6228,0.4355565,0.025446657
-12.6156,0.43474165,0.025907306
-12.60849,0.45418945,0.025619695
-12.60147,0.45154756,0.02623371
-12.59445,0.46341652,0.026145672
-12.58743,0.4604202,0.026769716
-12.58041,0.4798518,0.02629815
-12.57337,0.47144824,0.026888369
-12.56631,0.48324138,0.026455909
-12.55925,0.48256102,0.027052121
-12.55219,0.5036737,0.026352698
-12.54513,0.5011069,0.027338529
-12.53806,0.52045256,0.026918206
-12.53098,0.5175747,0.027494544
-12.5239,0.529323,0.026805526
-12.51682,0.5195685,0.027694548
-12.50974,0.52998614,0.027074467
-12.50267,0.5165564,0.027795015
-12.49561,0.5217011,0.027186673
-12.48855,0.5075971,0.02777757
-12.48149,0.5099493,0.027151626
-12.47443,0.49941784,0.027831288
-12.46737,0.51079726,0.027307084
-12.46031,0.50134516,0.0279366
-12.45325,0.5134351,0.02751745
-12.44619,0.49898228,0.028072085
-12.43913,0.51001227,0.027419308
-12.43206,0.5081127,0.028193401
-12.42498,0.52726984,0.027563008
-12.4179,0.51482654,0.027982557
-12.41082,0.5198997,0.027541379
-12.40374,0.50016546,0.02805914
-12.39653,0.51028,0.027427716
-12.38919,0.493383,0.028136892
-12.38185,0.5003193,0.027531514
-12.37451,0.49043116,0.028258244
-12.36717,0.5003842,0.027723322
-12.35974,0.48631492,0.02835316
-12.35222,0.49474716,0.027668748
-12.3447,0.4800362,0.028214557
-12.33718,0.49147385,0.027579742
-12.32966,0.48102298,0.028291034
-12.32218,0.49402642,0.028080577
-12.31474,0.48736924,0.028563162
-12.3073,0.49547333,0.027941005
-12.29986,0.48676306,0.028445527
-12.29242,0.4992761,0.02764022
-12.28497,0.4913434,0.028314538
-12.27751,0.5058803,0.027628949
-12.27005,0.49891967,0.028203858
-12.26259,0.50817645,0.027766267
-12.25513,0.49675894,0.02860629
-12.24766,0.5057084,0.028119083
-12.24018,0.50193506,0.028667755
-12.2327,0.5214229,0.028037054
-12.22522,0.51536065,0.028471477
-12.21774,0.5283062,0.02815232
-12.21023,0.51862735,0.029089674
-12.20269,0.5312346,0.02830035
-12.19515,0.5224279,0.028880809
-12.18761,0.53199846,0.028082922
-12.18007,0.520755,0.028903939
-12.17253,0.5297843,0.028427241
-12.16499,0.5191407,0.02915615
-12.15745,0.5258244,0.028330566
-12.14991,0.5164238,0.028833192
-12.14237,0.52274823,0.028327512
-12.13486,0.5167707,0.02906363
-12.12738,0.536248,0.028327845
-12.1199,0.52433515,0.028993037
-12.11242,0.5311289,0.028567303
-12.10494,0.50903195,0.029447775
-12.09743,0.5150143,0.028682405
-12.08989,0.5108738,0.02931169
-12.08235,0.52439165,0.028808849
-12.07481,0.5172524,0.029383615
-12.06727,0.5317596,0.028372368
-12.05992,0.5192677,0.029409232
-12.05276,0.5316854,0.029003218
-12.0456,0.53615737,0.029561685
-12.03844,0.55310977,0.028630562
-12.03128,0.5408065,0.029691936
-12.02426,0.55429757,0.0285432
-12.01738,0.5459691,0.029638965
-12.0105,0.56525475,0.02886681
-12.00362,0.5592838,0.029628258
-11.99674,0.5705458,0.028868446
-11.98987,0.55671483,0.029906271
-11.98301,0.5610047,0.02947151
-11.97615,0.55096596,0.029981557
-11.96929,0.5572011,0.029176468
-11.96243,0.5489964,0.029986134
-11.95555,0.56169736,0.029181993
-11.94865,0.55427533,0.030014647
-11.94175,0.56601816,0.029112352
-11.93485,0.5592083,0.02980595
-11.92795,0.5659475,0.02905788
-11.92102,0.5563706,0.029698856
-11.91406,0.569213,0.02880137
-11.9071,0.5610499,0.029672978
-11.90014,0.5750836,0.02895841
-11.89318,0.5697149,0.029836556
-11.88616,0.5789013,0.029158827
-11.87908,0.5694603,0.029880833
-11.872,0.5779727,0.029287979
-11.86492,0.57210886,0.030303242
-11.85784,0.59388006,0.029140651
-11.85079,0.5909217,0.03004699
-11.84377,0.61157525,0.029234773
-11.83675,0.60376936,0.030140229
-11.82973,0.6174842,0.029260257
-11.82271,0.6026708,0.030248126
-11.8157,0.6147726,0.029217018
-11.8087,0.59923536,0.03022719
-11.8017,0.60226864,0.029672902
-11.7947,0.58625126,0.030481385
-11.7877,0.60199076,0.029243516
-11.78072,0.59025943,0.03041239
-11.77376,0.6030998,0.02969603
-11.7668,0.5983504,0.030258834
-11.75984,0.6241627,0.028756872
-11.75288,0.61941767,0.03025374
-11.74599,0.64418423,0.029248836
-11.73917,0.6301218,0.030410023
-11.73235,0.64227295,0.029177489
-11.72553,0.6319171,0.029887164
-11.71871,0.6469814,0.028733114
-11.71209,0.6354965,0.02992953
-11.70567,0.65484935,0.028837956
-11.69925,0.64312345,0.030299515
-11.69283,0.6667528,0.028870214
-11.68641,0.6557423,0.030287564
-11.68027,0.67641485,0.028907916
-11.67441,0.6702671,0.030044604
-11.66855,0.69065803,0.02868363
-11.66269,0.6808403,0.02981795
-11.65683,0.7028971,0.028143847
-11.65092,0.6837958,0.030078793
-11.64496,0.7003043,0.028688448
-11.639,0.6838679,0.03027834
-11.63304,0.7043925,0.02836481
-11.62708,0.6953865,0.029518705
-11.62114,0.7176025,0.028074143
-11.61522,0.7084456,0.029388024
-11.6093,0.7264212,0.02786491
-11.60338,0.71321523,0.02938805
-11.59746,0.73512137,0.027424145
-11.59151,0.72161376,0.028886506
-11.58553,0.73141634,0.0276643
-11.57955,0.72004145,0.028652174
-11.57357,0.7406176,0.026637109
-11.56759,0.7246299,0.028344896
-11.56158,0.7418785,0.02728295
-11.55554,0.73471594,0.027886804
-11.5495,0.7474474,0.026917359
-11.54346,0.7385467,0.02822983
-11.53742,0.7596267,0.02637665
-11.53145,0.75425655,0.026826724
-11.52555,0.774819,0.025159042
-11.51965,0.76790464,0.026460897
-11.51375,0.7892075,0.025084637
-11.50785,0.7842386,0.026238391
-11.50188,0.8088126,0.024183482
-11.49584,0.80868024,0.023935158
-11.4898,0.8208434,0.022833114
-11.48376,0.80691797,0.02467979
-11.47772,0.8270507,0.022434078
-11.47173,0.8184673,0.023093902
-11.46579,0.8239356,0.02301997
-11.45985,0.82053864,0.023400469
-11.45391,0.8441597,0.02091658
-11.44797,0.839234,0.021526441
-11.44206,0.8569172,0.019752005
-11.43618,0.8542244,0.019593399
-11.4303,0.86757547,0.018505592
-11.42442,0.85530794,0.019467587
-11.41854,0.86995924,0.0179951
-11.41254,0.85818446,0.019222854
-11.40642,0.86562574,0.01903706
-11.4003,0.855529,0.019638281
-11.39418,0.8703229,0.018138185
-11.38806,0.8568861,0.0193446
-11.3819,0.8690921,0.018802008
-11.3757,0.8621092,0.019170376
-11.3695,0.8690664,0.019215371
-11.3633,0.85575217,0.02017297
-11.3571,0.868264,0.019309275
-11.35085,0.8548541,0.020118438
-11.34455,0.86414576,0.019618122
-11.33825,0.8558855,0.020235581
-11.33195,0.8684409,0.019129435
-11.32565,0.8508588,0.021072265
-11.3194,0.8663233,0.01984891
-11.3132,0.8597371,0.020097343
-11.307,0.87378466,0.019172365
-11.3008,0.8669714,0.019626994
-11.2946,0.88054913,0.018472768
-11.2884,0.87413013,0.018926978
-11.2822,0.88377684,0.018300917
-11.276,0.8690031,0.019562703
-11.2698,0.874365,0.018854346
-11.2636,0.87060606,0.01895048
-11.25742,0.88882524,0.016797917
-11.25126,0.8794626,0.017731741
-11.2451,0.88850814,0.016958354
-11.23894,0.8775276,0.017991213
-11.23278,0.8881525,0.016903436
-11.22658,0.8865795,0.016582267
-11.22034,0.89760894,0.0156205
-11.2141,0.88496524,0.01703883
-11.20786,0.8993243,0.01542822
-11.20162,0.8961271,0.015678488
-11.19542,0.9063134,0.014702716
-11.18926,0.90126926,0.01521377
-11.1831,0.9114744,0.013920989
-11.17694,0.902765,0.01470437
-11.17078,0.9091455,0.014180235
-11.16461,0.90750057,0.014149674
-11.15843,0.9161722,0.013395629
-11.15225,0.9117751,0.013610916
-11.14607,0.9229782,0.0122543955
-11.13989,0.9127811,0.0135542
-11.13368,0.9216151,0.012163066
-11.12744,0.9177488,0.012036208
-11.1212,0.92047775,0.012432016
-11.11496,0.9131649,0.013036817
-11.10872,0.92232955,0.0123312855
-11.10261,0.9189442,0.012125753
-11.09663,0.92593086,0.011268478
-11.09065,0.925274,0.011286309
-11.08467,0.93517095,0.010205932
-11.07869,0.9296792,0.010491027
-11.07279,0.93689555,0.00949933
-11.06697,0.9311412,0.010311593
-11.06115,0.93502027,0.010389035
-11.05533,0.9280737,0.010669197
-11.04951,0.93778133,0.009278388
-11.04365,0.9325641,0.009752089
-11.03775,0.9404007,0.009044291
-11.03185,0.941961,0.008469402
-11.02595,0.95002234,0.0076753786
-11.02005,0.9478496,0.00783228
-11.01412,0.95444185,0.0070494334
-11.00816,0.9550911,0.006895839
-11.0022,0.9575472,0.0069071352
-10.99624,0.95277566,0.007533719
-10.99028,0.95687073,0.007127464
-10.98431,0.95313996,0.0072971014
-10.97833,0.9557613,0.007278251
-10.97235,0.95273334,0.0073991944
-10.96637,0.95404786,0.0076548755
-10.96039,0.9499596,0.008222828
-10.95443,0.95590544,0.007406043
-10.94849,0.95615816,0.0071512815
-10.94255,0.95787203,0.007163354
-10.93661,0.9565115,0.007174461
-10.93067,0.9618532,0.006614766
-10.92474,0.9613224,0.0065493137
-10.91882,0.9649131,0.006225328
-10.9129,0.9643509,0.006114333
-10.90698,0.9682616,0.005577901
-10.90106,0.96705496,0.005547432
-10.89512,0.96746844,0.0059004384
-10.88916,0.9659559,0.006127768
-10.8832,0.96748,0.0060256966
-10.87724,0.964667,0.0062573003
-10.87128,0.96863204,0.0054967757
-10.86536,0.96998215,0.0049790815
-10.85948,0.9716609,0.004774591
-10.8536,0.9701272,0.00509913
-10.84772,0.97106963,0.0049965833
-10.84184,0.97011375,0.005003193
-10.8359,0.97051704,0.0050622653
-10.8299,0.9699365,0.005194782
-10.8239,0.9695343,0.005456878
-10.8179,0.966447,0.005747764
-10.8119,0.9679453,0.0055053746
-10.80593,0.96556455,0.0060234684
-10.79999,0.966557,0.006019667
-10.79405,0.96468365,0.0063685547
-10.78811,0.9645902,0.006515661
-10.78217,0.9589313,0.0073531875
-10.77623,0.9616095,0.0069779796
-10.77029,0.9633911,0.00645989
-10.76435,0.96598387,0.0060348003
-10.75841,0.96378577,0.006204597
-10.75247,0.96504354,0.0059626973
-10.74651,0.96573687,0.005983399
-10.74053,0.96716005,0.005771653
-10.73455,0.96423846,0.00608346
-10.72857,0.96521217,0.006104147
-10.72259,0.96258175,0.006508191
-10.7166,0.96379566,0.0064963195
-10.7106,0.96296865,0.006656435
-10.7046,0.9645451,0.006603596
-10.6986,0.9618785,0.0069169053
-10.6926,0.9637798,0.0065306206
-10.68657,0.96199447,0.0070510865
-10.68051,0.96340895,0.006870336
-10.67445,0.9601928,0.007227859
-10.66839,0.9612252,0.0073133325
-10.66233,0.9609539,0.0072741485
-10.6563,0.9597908,0.007768405
-10.6503,0.960612,0.0077115814
-10.6443,0.9637456,0.0069672447
-10.6383,0.963006,0.0070552323
-10.6323,0.9667732,0.0063449587
-10.6263,0.964779,0.006848367
-10.6203,0.96826184,0.0061933137
-10.6143,0.969178,0.005927822
-10.6083,0.9702218,0.005818195
-10.6023,0.9681014,0.0062518637
-10.5963,0.9677809,0.0065354486
-10.5903,0.966139,0.006747026
-10.5843,0.9673969,0.006434054
-10.5783,0.964066,0.0071325046
-10.5723,0.9655347,0.0068309833
-10.56629,0.96466446,0.007040348
-10.56027,0.96431077,0.0072813397
-10.55425,0.9614879,0.007885569
-10.54823,0.96375686,0.0074857175
-10.54221,0.9615723,0.0075889793
-10.53626,0.96089685,0.007863441
-10.53038,0.9613824,0.0077790106
-10.5245,0.9607256,0.007821039
-10.51862,0.95773566,0.0082054
-10.51274,0.96038723,0.007911446
-10.50679,0.9592536,0.00806073
-10.50077,0.9595726,0.0082437955
