Age,SD_probability_mean,SD_probability_error
-12.31474,0.3847942,0.023350215
-12.3073,0.40193072,0.022489484
-12.29986,0.38986397,0.023160309
-12.29242,0.40373865,0.022507768
-12.28497,0.3963313,0.023455989
-12.27751,0.41183788,0.022534436
-12.27005,0.40372276,0.023246823
-12.26259,0.4222371,0.02242066
-12.25513,0.4128759,0.02290484
-12.24766,0.4268791,0.022124415
-12.24018,0.4158782,0.023075163
-12.2327,0.43683878,0.022321114
-12.22522,0.42824277,0.02276797
-12.21774,0.4336267,0.022411125
-12.21023,0.42107287,0.02318879
-12.20269,0.4353672,0.022145772
-12.19515,0.4246559,0.023009928
-12.18761,0.44326553,0.022026882
-12.18007,0.43332013,0.022750016
-12.17253,0.44776616,0.021987787
-12.16499,0.4300254,0.02286266
-12.15745,0.44152433,0.022095816
-12.14991,0.43078834,0.022743285
-12.14237,0.44322005,0.021732256
-12.13486,0.43444958,0.022649132
-12.12738,0.44930285,0.021996934
-12.1199,0.4270791,0.022823686
-12.11242,0.42845345,0.02250771
-12.10494,0.40759262,0.023317274
-12.09743,0.41502205,0.022733433
-12.08989,0.40830058,0.023290966
-12.08235,0.4228819,0.022469478
-12.07481,0.41153938,0.023537261
-12.06727,0.4252678,0.022755025
-12.05992,0.4178787,0.023406722
-12.05276,0.43675104,0.022624817
-12.0456,0.4267761,0.02361525
-12.03844,0.4441486,0.022617774
-12.03128,0.4368946,0.023422128
-12.02426,0.44954795,0.022627031
-12.01738,0.4444004,0.023205834
-12.0105,0.46050936,0.022501064
-12.00362,0.44879794,0.02353318
-11.99674,0.46038085,0.022952147
-11.98987,0.4482266,0.023768326
-11.98301,0.45531616,0.022971861
-11.97615,0.44213897,0.023405125
-11.96929,0.4522071,0.022881234
-11.96243,0.44774333,0.023512814
-11.95555,0.465128,0.022811087
-11.94865,0.4549616,0.023736833
-11.94175,0.47194427,0.022890292
-11.93485,0.462499,0.023535369
-11.92795,0.46822625,0.022557566
-11.92102,0.45764193,0.023283836
-11.91406,0.46424007,0.022653764
-11.9071,0.45139512,0.023361463
-11.90014,0.46682534,0.022780508
-11.89318,0.45330256,0.023763385
-11.88616,0.4614059,0.023074746
-11.87908,0.45308414,0.023944601
-11.872,0.47250003,0.023232806
-11.86492,0.4682046,0.023708213
-11.85784,0.48757944,0.022913674
-11.85079,0.48716673,0.023597708
-11.84377,0.50888765,0.022824729
-11.83675,0.503798,0.02346549
-11.82973,0.5161961,0.022495
-11.82271,0.50727534,0.023253445
-11.8157,0.51836574,0.02271491
-11.8087,0.497895,0.023824869
-11.8017,0.507229,0.022960624
-11.7947,0.4908684,0.023678254
-11.7877,0.50332105,0.023027461
-11.78072,0.4909224,0.023713794
-11.77376,0.50606096,0.022949578
-11.7668,0.49663353,0.023798196
-11.75984,0.5245313,0.022958657
-11.75288,0.5352118,0.023253435
-11.74599,0.5595577,0.022436285
-11.73917,0.54106915,0.023678092
-11.73235,0.5577733,0.02271153
-11.72553,0.5426637,0.023450105
-11.71871,0.5634379,0.022471322
-11.71209,0.54999363,0.023571933
-11.70567,0.57749707,0.022154856
-11.69925,0.56516707,0.02287714
-11.69283,0.5952457,0.021748088
-11.68641,0.5862824,0.022644754
-11.68027,0.6143767,0.021375353
-11.67441,0.6041911,0.022391703
-11.66855,0.629753,0.020994635
-11.66269,0.6119648,0.022347376
-11.65683,0.62740445,0.021328181
-11.65092,0.6059969,0.02249581
-11.64496,0.62585443,0.021562284
-11.639,0.6110071,0.022949051
-11.63304,0.63544697,0.021678297
-11.62708,0.62860435,0.02198305
-11.62114,0.6537213,0.020672798
-11.61522,0.6397219,0.021923507
-11.6093,0.66927236,0.020581828
-11.60338,0.65786153,0.021104835
-11.59746,0.6767143,0.020149471
-11.59151,0.65946966,0.021519225
-11.58553,0.67774284,0.020460578
-11.57955,0.6610197,0.021528574
-11.57357,0.67510736,0.020521099
-11.56759,0.66250306,0.021635871
-11.56158,0.68108875,0.020696733
-11.55554,0.6735857,0.021290015
-11.5495,0.70112,0.019668717
-11.54346,0.6948644,0.02030873
-11.53742,0.7161728,0.019155737
-11.53145,0.7102411,0.019876685
-11.52555,0.7379214,0.01836412
-11.51965,0.7355948,0.018643858
-11.51375,0.771646,0.016548574
-11.50785,0.7698847,0.017084757
-11.50188,0.79351205,0.015936093
-11.49584,0.78503877,0.01640554
-11.4898,0.8026968,0.015426253
-11.48376,0.7915344,0.016297935
-11.47772,0.8065547,0.015406188
-11.47173,0.8015059,0.015853254
-11.46579,0.8226283,0.014597709
-11.45985,0.81420344,0.0150605
-11.45391,0.8277052,0.014646415
-11.44797,0.8233644,0.015108536
-11.44206,0.8398207,0.01458989
-11.43618,0.8392,0.014649473
-11.4303,0.85777676,0.013848129
-11.42442,0.8504834,0.014121231
-11.41854,0.8628272,0.013586281
-11.41254,0.8509882,0.014103763
-11.40642,0.8605566,0.013741213
-11.4003,0.8506912,0.014124203
-11.39418,0.8552815,0.013958683
-11.38806,0.84759206,0.014168055
-11.3819,0.8591018,0.013733625
-11.3757,0.8489405,0.01411096
-11.3695,0.8604024,0.013643532
-11.3633,0.85062444,0.014032008
-11.3571,0.86006033,0.01361685
-11.35085,0.8505144,0.013985956
-11.34455,0.86176795,0.013546653
-11.33825,0.85079783,0.013840168
-11.33195,0.8592124,0.013686438
-11.32565,0.85378724,0.014018524
-11.3194,0.8666546,0.0135722505
-11.3132,0.8617795,0.013713744
-11.307,0.8731133,0.013452459
-11.3008,0.86930716,0.013587187
-11.2946,0.8793659,0.01328831
-11.2884,0.8703208,0.013561228
-11.2822,0.8756186,0.013583168
-11.276,0.86930543,0.013677008
-11.2698,0.87565887,0.0135161495
-11.2636,0.87119997,0.013629526
-11.25742,0.8799578,0.013441653
-11.25126,0.8729561,0.013612982
-11.2451,0.88321936,0.013282849
-11.23894,0.8788544,0.013343387
-11.23278,0.8816385,0.013300405
-11.22658,0.8787352,0.013408081
-11.22034,0.88721305,0.013291827
-11.2141,0.88753223,0.013219455
-11.20786,0.8896899,0.0132463
-11.20162,0.88837945,0.013284627
-11.19542,0.8936049,0.0132419355
-11.18926,0.8917878,0.013283886
-11.1831,0.89554584,0.013246522
-11.17694,0.89432096,0.013247779
-11.17078,0.9001856,0.013164673
-11.16461,0.8961524,0.013240741
-11.15843,0.9013089,0.0132272085
-11.15225,0.8993243,0.013257432
-11.14607,0.9037156,0.013197709
-11.13989,0.9010542,0.013224269
-11.13368,0.9026731,0.0131753795
-11.12744,0.89776075,0.013249153
-11.1212,0.90345573,0.013204468
-11.11496,0.90105504,0.013249325
-11.10872,0.9049508,0.013251374
-11.10261,0.90456903,0.013290821
-11.09663,0.909551,0.013278092
-11.09065,0.90456945,0.013375884
-11.08467,0.9087699,0.01331646
-11.07869,0.9114212,0.013246317
-11.07279,0.9132041,0.013254058
-11.06697,0.9124759,0.013285723
-11.06115,0.91590136,0.013278233
-11.05533,0.91437614,0.013274421
-11.04951,0.91680527,0.013264952
-11.04365,0.916276,0.013286179
-11.03775,0.91969025,0.013310284
-11.03185,0.9191632,0.013339339
-11.02595,0.92221975,0.013367017
-11.02005,0.92257977,0.013385656
-11.01412,0.92595655,0.013423635
-11.00816,0.9249851,0.013419924
-11.0022,0.92619467,0.0134180235
-10.99624,0.92372,0.013398104
-10.99028,0.92508304,0.013396695
-10.98431,0.9251871,0.013404127
-10.97833,0.926196,0.013404948
-10.97235,0.92516774,0.013406246
-10.96637,0.9262471,0.013412598
-10.96039,0.9254829,0.013412956
-10.95443,0.92878485,0.013448562
-10.94849,0.9291232,0.013459248
-10.94255,0.93061936,0.013484252
-10.93661,0.9310625,0.013495173
-10.93067,0.9323634,0.0135119865
-10.92474,0.93281776,0.013526898
-10.91882,0.9341095,0.013550477
-10.9129,0.9338148,0.013556444
-10.90698,0.93523425,0.013574928
-10.90106,0.9347545,0.013569919
-10.89512,0.9353598,0.01357809
-10.88916,0.93606454,0.013590983
-10.8832,0.9366785,0.013604159
-10.87724,0.9362606,0.013601119
-10.87128,0.9357683,0.013591322
-10.86536,0.93610525,0.013596718
-10.85948,0.937301,0.01361907
-10.8536,0.9373684,0.0136213815
-10.84772,0.93739223,0.013621322
-10.84184,0.9372444,0.013620203
-10.8359,0.9377769,0.013628161
-10.8299,0.9366091,0.013604799
-10.8239,0.93618506,0.01359126
-10.8179,0.93572676,0.013581894
-10.8119,0.93570215,0.013579244
-10.80593,0.93547505,0.013575357
-10.79999,0.934789,0.013559747
-10.79405,0.9336935,0.013541053
-10.78811,0.93324214,0.013532898
-10.78217,0.93315995,0.013532676
-10.77623,0.9330055,0.0135296825
-10.77029,0.9336462,0.013541393
-10.76435,0.93442935,0.013550642
-10.75841,0.9348224,0.013559348
-10.75247,0.93496877,0.013558144
-10.74651,0.93401986,0.013544147
-10.74053,0.9341283,0.013545911
-10.73455,0.93403447,0.013547508
-10.72857,0.9337125,0.0135397045
-10.72259,0.93440187,0.013553544
-10.7166,0.9353932,0.013573568
-10.7106,0.9358977,0.013585114
-10.7046,0.9357308,0.01358228
-10.6986,0.9349394,0.013569684
-10.6926,0.93469304,0.013560899
-10.68657,0.9342623,0.013556689
-10.68051,0.9346188,0.013558626
-10.67445,0.93457586,0.013559168
-10.66839,0.9332606,0.013530697
-10.66233,0.9335663,0.013538466
-10.6563,0.93404245,0.013547543
-10.6503,0.93412316,0.01355412
-10.6443,0.93518114,0.013574572
-10.6383,0.9357783,0.01358865
-10.6323,0.9361119,0.013593986
-10.6263,0.9373644,0.013621009
-10.6203,0.93746316,0.01362498
-10.6143,0.93771636,0.013631619
-10.6083,0.93713653,0.013618969
-10.6023,0.93689215,0.013614085
-10.5963,0.9367148,0.013609429
-10.5903,0.9357011,0.013593525
-10.5843,0.93553734,0.01358819
-10.5783,0.93608665,0.013599428
-10.5723,0.9362729,0.013598729
-10.56629,0.93591404,0.013593336
-10.56027,0.9363984,0.013600904
-10.55425,0.93554294,0.01358633
-10.54823,0.9352913,0.013579437
-10.54221,0.93508226,0.013576766
-10.53626,0.93456614,0.013564083
-10.53038,0.93378896,0.013551537
-10.5245,0.93363494,0.013544648
-10.51862,0.93371516,0.0135483
-10.51274,0.9334795,0.013541366
-10.50679,0.93405545,0.013553807
-10.50077,0.9350529,0.013570779
